ULTIMATE_PARENT_NUM_JS,LOCATION_NUMBER,COMPANY_NAME,ADDRESS,CITY,STATE_ABBR,ZIP,ZIP4,STATE_CODE,COUNTY_CODE,CARRIER_ROUTE,CBSA_CODE,CBSA_DESC,CBSA_LEVEL,CSA_CODE,MSA_CODE,ADDRESS_TYPE_IND,PRIMARY_MAIL_SCORE,PRIMARY_MAIL_CONF,LATITUDE,LONGITUDE,SECONDARY_ADDRESS,SECONDARY_CITY,SECONDARY_STATE,SECONDARY_ZIP,SECONDARY_ZIP4,SECONDARY_CRRT,SECONDARY_MAIL_SCORE,SECONDARY_MAIL_CONF,PHONE,CONTACT_LAST_NAME,CONTACT_FIRST_NAME,CONTACT_PROF_TITLE,CONTACT_TITLE_CODE,PRIMARY_SIC,PRIMARY_SIC_DESC,SECONDARY_SIC_1,SECONDARY_SIC_DESC,NAICS_CODE,NAICS_DESC,EMPLOYEE_SIZE,EMP_DERIVATION_FLAG,NUMBER_EMPLOYEES,SALES_VOLUME,EST_SALES_VOLUME,EST_TOTAL_SALES_VOL,HEADQUARTERS_CODE,PUBLIC_CO_INDICATOR,FORTUNE_RANK,PRIMARY_URL,YEAR_ESTABLISHED_CCYY,MATCH TYPE,MATCH SCORE,YEAR_APPEARANCE,NEW_ADD_DATE,LAST_MOD_DATE_CCYY,ACTION_CODE,KEY CODES,KEY CODES_2,CORPORATION_DATE,FILING_TYPE,DB_FILE_CODE,SUBSIDIARY_NUMBER,ULTIMATE_PARENT_NUM,BLANK_FIELD,Client_Master Record ID,Client_Source,Client_Source ID,Client_Cluster_ID,Client_Name,Client_Address,Client_City,Client_State,Client_Zip,Client_Country
993536168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993059690,993059690,SONUS NETWORKS INC,4 TECHNOLOGY PARK DR,WESTFORD,MA,1886,3140,25,17,R014,14460,"BOSTON, MA",2,148,,S,1C,1,42.573639,-71.415471,,,,,,,,,9786148100,DOLAN,RAYMOND P,,C,737398,COMPUTER INTEGRATED SYSTEMS DESIGN,573401,COMPUTER SOFTWARE,54151204,COMPUTER SYSTEMS DESIGN SERVICES,A,C,4,,,276733,1,1,,SONUS.NET,1997,B,100,2000,201501,201502,L,,,,,U,,993059690,,A0194003,CSDA,1-2PTA-3730,192390,SONUS NETWORKS INC,4 TECHNOLOGY PARK DR,WESTFORD,MA,01886-3140,USA
992455055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992455022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992437160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992405233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990556144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990488967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990488926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990476962,990476962,HOME STATE BANCORP INC,PO BOX 1738,CRYSTAL LAKE,IL,60039,1738,17,111,B019,16980,"CHICAGO-NPVL, IL",2,176,,F,1C,1,42.241646,-88.320446,40 GRANT ST,CRYSTAL LAKE,IL,60014,4314,C001,1C,1,8154592000,SLACK,STEVEN,,C,671201,HOLDING COMPANIES (BANK),596104,BANKS,55111101,OFFICES OF BANK HOLDING COMPANIES,F,A,120,,,624348,1,,,HOMESTBK.COM,,D,86,1998,199812,201502,L,,,,,U,,990476962,,A0098976,CSDA,1-57125168,98539,HOME STATE MORTGAGE GROUP INC,40 GRANT ST,CRYSTAL LAKE,IL,60014-4314,USA
990436438,990436438,BERKSHIRE HILLS BANCORP INC,PO BOX 1308,PITTSFIELD,MA,1202,1308,25,3,B014,38340,"PITTSFIELD, MA",2,0,,F,1C,1,42.449124,-73.253693,24 NORTH ST,PITTSFIELD,MA,1201,5106,C035,4D,4,4134435601,DALY,MICHAEL P,,C,671201,HOLDING COMPANIES (BANK),,,55111101,OFFICES OF BANK HOLDING COMPANIES,A,A,1,,,5672799,1,1,,BERKSHIREBANK.COM,1995,B,100,1998,199812,201409,L,,,,,U,,990436438,,A0221562,CSDA,1-209021042,219657,BERKSHIRE HILLS BANCORP,24 NORTH ST,PITTSFIELD,MA,01201-5106,USA
989858857,989858857,AL-KO AXIS INC,21608 PROTECTA DR,ELKHART,IN,46516,9532,18,39,R070,21140,"ELKHT-GSHN, IN",2,515,,S,1C,1,41.696984,-85.880905,,,,,,,,,5742946651,RIEF,JOHN,,K,371419,AXLES-MANUFACTURERS,596104,AXLES,33639007,OTHER MOTOR VEHICLE PARTS MANUFACTURING,E,A,70,,,,1,,,AL-KOUSA.COM,1931,B,90,1998,200603,201407,A,,,,,U,,989858857,,A0167862,CSDA,1-3QVZ-1324,166553,AL-KO KOBER CORPORATION,21608 PROTECTA DR,ELKHART,IN,46516-9532,USA
989051347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988869707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988857082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988851325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987541471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987541232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987541208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987541158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987541042,987541042,PROSPERITY BANCSHARES INC,14060 SOUTHWEST FWY,SUGAR LAND,TX,77478,3532,48,157,C020,26420,"HOUSTON, TX",2,288,,S,1C,1,29.618971,-95.604664,,,,,,,,,2812697200,ZALMAN,DAVID,,C,671201,HOLDING COMPANIES (BANK),602101,BANKS,55111101,OFFICES OF BANK HOLDING COMPANIES,F,A,150,,,18642028,1,1,,PROSPERITYBANKTX.COM,1983,D,79,1984,201502,201502,V,,,,,U,,987541042,,A0251221,CSDA,1-13143533,248942,SOUTHERN NATIONAL BANK - TEXAS,14060 SOUTHWEST FWY,SUGAR LAND,TX,77478-3532,USA
987540986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987533452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987329240,987329240,IRVINE CO LLC,550 NEWPORT CENTER DR # 160,NEWPORT BEACH,CA,92660,7027,6,59,C056,31080,,2,348,,H,1C,1,33.616201,-117.872251,,,,,,,,,9497202000,HOLTE,DOUG,,2,653104,REAL ESTATE INVESTMENTS,651303,APARTMENTS,53121004,OFFICES OF REAL ESTATE AGENTS & BROKERS,G,A,350,,,1500000,1,,,IRVINECOMPANY.COM,1864,B,97,1993,199402,201502,A,,,,,U,,987329240,,A0094690,CSDA,1-6211604,94281,THE IRVINE COMPANY,550 NEWPORT CENTER DR,NEWPORT BEACH,CA,92660-7021,USA
987315306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987313764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987307014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987301256,987301256,BOSTON GLOBE MEDIA PARTNERS,PO BOX 55819,BOSTON,MA,2205,5819,25,25,B099,14460,"BOSTON, MA",2,148,,S,1C,1,42.313677,-71.047282,135 WILLIAM T MORRISSEY BLVD,DORCHESTER,MA,2125,3338,C028,1C,1,6179292000,HALL,CHRIS,,K,271101,NEWSPAPERS (PUBLISHERS/MFRS),272198,RADIO/TV BROADCASTING/COMM EQUIP (MFRS),51111003,NEWSPAPER PUBLISHERS,I,A,2001,,,450000,1,,,BOSTON.COM,,B,100,1989,199405,201502,V,,,,,U,,987301256,,A0241712,CSDA,1-1478144,239579,GLOBE NEWSPAPER CO INC,135 WILLIAM T MORRISSEY BLVD,DORCHESTER,MA,02125-3310,USA
987293578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987293412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987286804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987217866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987137031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985033398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983823105,983823105,DICK BLICK HOLDINGS INC,1849 GREEN BAY RD # 310,HIGHLAND PARK,IL,60035,3168,17,97,C009,16980,"CHICAGO-NPVL, IL",2,176,,H,1C,1,42.185841,-87.802871,,,,,,,,,8476816800,BUCHSBAUM,ROBERT,,C,599965,ARTISTS MATERIALS & SUPPLIES,594501,ART GALLERIES & DEALERS,45399805,ALL OTHER MISC STORE RETAILERS (EXC TOBACCO STRS),E,A,75,,,,1,,,DICKBLICK.COM,1911,B,100,1998,199811,201502,A,,,,,U,,983823105,,A0000110,CSDA,W1204011543,109,DICK BLICK HOLDINGS,1849 GREEN BAY RD,HIGHLAND PARK,IL,60035-3168,USA
982619868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982614752,982614752,RAYCOM MEDIA INC,201 MONROE ST # 20,MONTGOMERY,AL,36104,3601,1,101,C006,33860,"MONTGOMERY, AL",2,0,,F,1C,1,32.378707,-86.306037,,,,,,,,,3342061400,MC TEAR,PAUL,,C,483301,TELEVISION STATIONS & BROADCASTING CO,483201,RADIO STATIONS & BROADCASTING COMPANIES,51512001,TELEVISION BROADCASTING,D,A,35,,,,1,,,RAYCOMMEDIA.COM,1996,B,97,1998,199809,201502,A,,,,,U,,982614752,,A0165944,CSDA,1-3TV7-1374,129925,RAYCOM MEDIA,201 MONROE ST,MONTGOMERY,AL,36104-3731,USA
982183584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982103699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981567878,981567878,CROWN CASTLE INTL,1220 AUGUSTA DR # 500,HOUSTON,TX,77057,2263,48,201,C051,26420,"HOUSTON, TX",2,288,,H,1C,1,29.754888,-95.482709,,,,,,,,,7135703000,MORELAND,W BENJAMIN,,C,489901,COMMUNICATIONS SERVICES-COMMON CARRIERS,481207,BROADCASTING COMPANIES,51791903,ALL OTHER TELECOMMUNICATIONS,F,A,100,,,3022384,1,1,728,CROWNCASTLE.COM,1995,B,97,1998,200509,201502,,,,,,U,,981567878,,A0194859,CSDA,1-2PTA-1017,193224,CROWN CASTLE INTERNATIONAL CORP,1220 AUGUSTA DR,HOUSTON,TX,77057-2263,USA
981326820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980970461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979725918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979454931,979454931,PULASKI FINANCIAL CORP,PO BOX 419033,ST LOUIS,MO,63141,9033,29,189,B050,41180,"ST. LOUIS, MO-IL",2,476,,S,1C,1,38.672878,-90.45345,12300 OLIVE BLVD,CREVE COEUR,MO,63141,6402,C022,1C,1,3148782210,DOUGLASS,GARY W,,C,671201,HOLDING COMPANIES (BANK),602101,BANKS,55111101,OFFICES OF BANK HOLDING COMPANIES,F,A,200,,,1380097,1,1,,PULASKIBANK.COM,1998,B,100,1998,199808,201501,A,,,,,U,,979454931,,A0187770,CSDA,1-301707932,186242,PULASKI FINANCIAL CORP,12300 OLIVE BLVD,SAINT LOUIS,MO,63141-6402,USA
979116555,979116555,MEDALLION FINANCIAL CORP,437 MADISON AVE # 38,NEW YORK,NY,10022,7015,36,61,C311,35620,"NW YRK, NY-NJ-PA",2,408,,F,1C,1,40.757335,-73.97596,,,,,,,,,2123282100,MURSTEIN,ALVIN,,C,671201,HOLDING COMPANIES (BANK),628203,FINANCIAL ADVISORY SERVICES,55111101,OFFICES OF BANK HOLDING COMPANIES,E,A,80,,,34929,1,1,,MEDALLIONFINANCIAL.COM,1980,B,97,1998,200209,201502,L,,,,,U,,979116555,,A0071472,CSDA,1-9718158,71206,MEDALLION FINANCIAL,437 MADISON AVE,NEW YORK,NY,10022-7001,USA
977932045,977932045,UNITED COMMUNITY FINANCIAL,PO BOX 1111,YOUNGSTOWN,OH,44501,1111,39,99,B050,49660,"YOUNGSTWN, OH-PA",2,566,,S,1C,1,41.101832,-80.653383,275 W FEDERAL ST,YOUNGSTOWN,OH,44503,1200,C053,4D,4,3307420500,SMALL,GARY M,,C,671201,HOLDING COMPANIES (BANK),602101,BANKS,55111101,OFFICES OF BANK HOLDING COMPANIES,F,A,200,,,1737850,1,1,,IR.UCFCONLINE.COM,1889,D,81,1998,199807,201410,A,,,,,U,,977932045,,A0214788,CSDA,1-237149795,212982,CENTURY MORTGAGE FUNDING LLC,275 W FEDERAL ST,YOUNGSTOWN,OH,44503-1200,USA
977932045,977932045,UNITED COMMUNITY FINANCIAL,PO BOX 1111,YOUNGSTOWN,OH,44501,1111,39,99,B050,49660,"YOUNGSTWN, OH-PA",2,566,,S,1C,1,41.101832,-80.653383,275 W FEDERAL ST,YOUNGSTOWN,OH,44503,1200,C053,4D,4,3307420500,SMALL,GARY M,,C,671201,HOLDING COMPANIES (BANK),602101,BANKS,55111101,OFFICES OF BANK HOLDING COMPANIES,F,A,200,,,1737850,1,1,,IR.UCFCONLINE.COM,1889,B,100,1998,199807,201410,A,,,,,U,,977932045,,A0193794,CSDA,1-2PTA-4424,192186,UNITED COMMUNITY FINANCIAL CORP,275 W FEDERAL ST,YOUNGSTOWN,OH,44503-1200,USA
977518554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977501782,977501782,AMERICAN TOWER CORP,116 HUNTINGTON AVE # 1100,BOSTON,MA,2116,5786,25,25,C029,14460,"BOSTON, MA",2,148,,H,1C,1,42.34639,-71.080294,,,,,,,,,6173757500,TAICLET JR,JAMES D,,C,481302,TELECOMMUNICATIONS SERVICES,481207,REAL ESTATE INVESTMENT TRUSTS,51791916,ALL OTHER TELECOMMUNICATIONS,F,A,100,,,3361407,1,1,676,AMERICANTOWER.COM,1995,B,100,2007,201410,201502,,,,,,U,,977501782,,A0266799,SFDC,001i000000qwN4WAAU,264128,American Tower Corp,116 Huntington Ave,Boston,MA,2116,USA
976165738,976165738,CO BIZ FINANCIAL INC,821 17TH ST,DENVER,CO,80202,3040,8,31,C034,19740,"DENVER-AURORA,CO",2,216,,H,2D,2,39.747104,-104.99221,,,,,,,,,3033123400,BANGERT,STEVEN,,C,671201,HOLDING COMPANIES (BANK),509905,BANKS,55111101,OFFICES OF BANK HOLDING COMPANIES,G,A,350,,,2653641,1,1,,COBIZFINANCIAL.COM,1980,B,100,1988,201409,201502,A,,,,,U,,976165738,,A0178491,CSDA,1-32LX-27,177045,CO BIZ FINANCIAL INC,821 17TH ST,DENVER,CO,80202-3010,USA
975717281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975073016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974982993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974811564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973958283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973958192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973835853,973835853,COGNIZANT TECHNOLOGY SOLUTIONS,500 FRANK W BURR BLVD # 50,TEANECK,NJ,7666,6821,34,3,C002,35620,"NW YRK, NY-NJ-PA",2,408,,F,1C,1,40.873719,-74.005291,,,,,,,,,2018010233,D'SOUZA,FRANCISCO,,C,737109,INFORMATION TECHNOLOGY SERVICES,481302,BUSINESS MANAGEMENT CONSULTANTS,54151109,CUSTOM COMPUTER PROGRAMMING SERVICES,G,A,350,,,8843189,1,1,308,COGNIZANT.COM,1994,B,97,1989,201406,201502,A,,,,,U,,973835853,,A0200877,CSDA,1-2916107,199187,COGNIZANT TECHNOLOGY SOLUTIONS,500 FRANK W BURR BLVD,TEANECK,NJ,07666-6804,USA
973835853,973835853,COGNIZANT TECHNOLOGY SOLUTIONS,500 FRANK W BURR BLVD # 50,TEANECK,NJ,7666,6821,34,3,C002,35620,"NW YRK, NY-NJ-PA",2,408,,F,1C,1,40.873719,-74.005291,,,,,,,,,2018010233,D'SOUZA,FRANCISCO,,C,737109,INFORMATION TECHNOLOGY SERVICES,481302,BUSINESS MANAGEMENT CONSULTANTS,54151109,CUSTOM COMPUTER PROGRAMMING SERVICES,G,A,350,,,8843189,1,1,308,COGNIZANT.COM,1994,B,97,1989,201406,201502,A,,,,,U,,973835853,,A0193515,CSDA,1-2PTA-884,191909,COGNIZANT TECHNOLOGY SOLUTIONS U S CORPORATION,500 FRANK W BURR BLVD,TEANECK,NJ,07666-6804,USA
973726136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972583819,972583819,BUILDERS FIRST SOURCE INC,2001 BRYAN ST # 1600,DALLAS,TX,75201,3017,48,113,C050,19100,"DALLAS F WTH, TX",2,206,,H,1C,1,32.784659,-96.796587,,,,,,,,,2148803500,SHERMAN,FLOYD F,,C,521126,BUILDING MATERIALS,243103,BUILDING MATERIALS-MANUFACTURERS,44411001,HOME CENTERS,E,A,60,,,1489892,1,1,,BLDR.COM,1998,B,95,1998,199806,201502,A,,,,,U,,972583819,,A0217430,CSDA,1-2251-7819,215592,BUILDERS FIRSTSOURCE-SOUTHEAST GROUP LLC,2001 BRYAN ST,DALLAS,TX,75201-3017,USA
972583819,972583819,BUILDERS FIRST SOURCE INC,2001 BRYAN ST # 1600,DALLAS,TX,75201,3017,48,113,C050,19100,"DALLAS F WTH, TX",2,206,,H,1C,1,32.784659,-96.796587,,,,,,,,,2148803500,SHERMAN,FLOYD F,,C,521126,BUILDING MATERIALS,243103,BUILDING MATERIALS-MANUFACTURERS,44411001,HOME CENTERS,E,A,60,,,1489892,1,1,,BLDR.COM,1998,B,100,1998,199806,201502,A,,,,,U,,972583819,,A0140824,CSDA,1-4B8R-5200,139775,BUILDERS FIRSTSOURCE INC,2001 BRYAN ST,DALLAS,TX,75201-3002,USA
972304513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970742433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970608527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970555397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970538922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969643626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969465822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969460377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969460286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969093798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969077049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969077031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
